AGE,SEX,LINE,LOC131295014,Gm26206,Xkr4,Gm18956,LOC131295015,Gm53491,LOC131295016,LOC131295017,LOC131295018,Gm7341,LOC131295019,LOC131295020
Young,Male,Microglia,0,0,150.23009,0,0,0,0,0,0,0,0,0
Old,Female,Microglia,0,0,250.5955,0,0,0,0,0,0,0,0,0
Old,Female,Microglia,0,0,219.54787,0,0,0,0,0,0,0,0,0
Young,Male,Microglia,0,0,194.95505,0,0,0,0,0,0,0,0,0
Young,Female,Microglia,0,0,132.66295,0,0,0,0,0,0,0,0,0
Old,Female,Microglia,0,0,104.62922,0,0,0,0,0,0,0,0,0
Adult,Female,Microglia,0,0,219.63683,0,0,0,0,0,0,0,0,0
Adult,Female,Microglia,0,0,133.49437,0,0,0,0,0,0,0,0,0
Old,Male,Microglia,0,0,301.68396,0,0,0,0,0,0,0,0,0
Old,Male,Microglia,0,0,532.2022,0,0,0,0,0,0,0,0,0
Old,Female,Microglia,0,0,138.5397,0,0,0,0,0,0,0,0,0
Old,Female,Microglia,0,0,326.43826,0,0,0,0,0,0,0,0,0
Young,Male,Microglia,0,0,134.86516,0,0,0,0,0,0,0,0,0
Young,Female,Microglia,0,0,237.81668,0,0,0,0,0,0,0,0,0
Young,Male,Microglia,0,0,219.00002,0,0,0,0,0,0,0,0,0
Young,Female,Microglia,0,0,230.26965,0,0,0,0,0,0,0,0,0
Young,Male,Microglia,0,0,90.0,0,0,0,0,0,0,0,0,0
Old,Male,Microglia,0,0,256.5618,0,0,0,0,0,0,0,0,0
Old,Female,Microglia,0,0,142.87642,0,0,0,0,0,0,0,0,0
Old,Female,Microglia,0,0,184.41748,0,0,0,0,0,0,0,0,0
Old,Male,Microglia,0,0,261.5169,0,0,0,0,0,0,0,0,0
Old,Male,Microglia,0,0,260.76047,0,0,0,0,0,0,0,0,0
Old,Male,Microglia,0,0,229.05087,0,0,0,0,0,0,0,0,0
Young,Female,Microglia,0,0,137.7753,0,0,0,0,0,0,0,0,0
Adult,Female,Microglia,0,0,169.3324,0,0,0,0,0,0,0,0,0
Adult,Female,Microglia,0,0,194.7191,0,0,0,0,0,0,0,0,0
Adult,Male,Microglia,0,0,167.55057,0,0,0,0,0,0,0,0,0
Adult,Male,Microglia,0,0,272.22473,0,0,0,0,0,0,0,0,0
Old,Male,Microglia,0,0,264.85748,0,0,0,0,0,0,0,0,0
Young,Female,Microglia,0,0,228.0,0,0,0,0,0,0,0,0,0
Young,Male,Microglia,0,0,215.7191,0,0,0,0,0,0,0,0,0
Young,Male,Microglia,0,0,142.9663,0,0,0,0,0,0,0,0,0
Old,Male,Microglia,0,0,260.3146,0,0,0,0,0,0,0,0,0
Old,Male,Microglia,0,0,215.07864,0,0,0,0,0,0,0,0,0
Old,Female,Microglia,0,0,128.41574,0,0,0,0,0,0,0,0,0
Young,Female,Microglia,0,0,95.0,0,0,0,0,0,0,0,0,0
Young,Male,Microglia,0,0,120.0,0,0,0,0,0,0,0,0,0
Young,Female,Microglia,0,0,68.0,0,0,0,0,0,0,0,0,0
Young,Female,Microglia,0,0,215.40448,0,0,0,0,0,0,0,0,0
Old,Female,Microglia,0,0,121.22473,0,0,0,0,0,0,0,0,0
Adult,Male,Microglia,0,0,129.0,0,0,0,0,0,0,0,0,0
Adult,Male,Microglia,0,0,185.7809,0,0,0,0,0,0,0,0,0
Adult,Female,Microglia,0,0,127.01124,0,0,0,0,0,0,0,0,0
Adult,Female,Microglia,0,0,125.26967,0,0,0,0,0,0,0,0,0
Adult,Male,Microglia,0,0,163.63394,0,0,0,0,0,0,0,0,0
Adult,Male,Microglia,0,0,139.51688,0,0,0,0,0,0,0,0,0
Adult,Male,Microglia,0,0,120.82022,0,0,0,0,0,0,0,0,0
Adult,Female,Microglia,0,0,165.3151,0,0,0,0,0,0,0,0,0
Adult,Female,Microglia,0,0,196.11903,0,0,0,0,0,0,0,0,0
Adult,Male,Microglia,0,0,141.7416,0,0,0,0,0,0,0,0,0
Adult,Male,Astrocytes,0,0,42.0,0,0,0,0,0,0,0,0,0
Adult,Female,Astrocytes,0,0,42.343067,0,0,0,0,0,0,0,0,0
Adult,Male,Astrocytes,0,0,71.75182,0,0,0,0,0,0,0,0,0
Adult,Male,Astrocytes,0,0,43.51825,0,0,0,0,0,0,0,0,0
Adult,Female,Astrocytes,0,0,0.0,0,0,0,0,0,0,0,0,0
Old,Male,Astrocytes,0,0,70.0,0,0,0,0,0,0,0,0,0
Old,Female,Astrocytes,0,0,0.0,0,0,0,0,0,0,0,0,0
Old,Female,Astrocytes,0,0,62.0,0,0,0,0,0,0,0,0,0
Old,Female,Astrocytes,0,0,24.394161,0,0,0,0,0,0,0,0,0
Old,Male,Astrocytes,0,0,65.167885,0,0,0,0,0,0,0,0,0
Adult,Male,Astrocytes,0,0,18.0,0,0,0,0,0,0,0,0,0
Old,Female,Astrocytes,0,0,72.532845,0,0,0,0,0,0,0,0,0
Old,Male,Astrocytes,0,0,65.44525,0,0,0,0,0,0,0,0,0
Old,Male,Astrocytes,0,0,66.83891,0,0,0,0,0,0,0,0,0
Old,Female,Astrocytes,0,0,52.000004,0,0,0,0,0,0,0,0,0
Old,Male,Astrocytes,0,0,94.21898,0,0,0,0,0,0,0,0,0
Old,Female,Astrocytes,0,0,97.81022,0,0,0,0,0,0,0,0,0
Adult,Female,Astrocytes,0,0,52.69343,0,0,0,0,0,0,0,0,0
Adult,Female,Astrocytes,0,0,10.0,0,0,0,0,0,0,0,0,0
Young,Male,Astrocytes,0,0,48.0,0,0,0,0,0,0,0,0,0
Young,Female,Astrocytes,0,0,67.10877,0,0,0,0,0,0,0,0,0
Young,Female,Astrocytes,0,0,51.497795,0,0,0,0,0,0,0,0,0
Young,Male,Astrocytes,0,0,56.0,0,0,0,0,0,0,0,0,0
Young,Male,Astrocytes,0,0,0.0,0,0,0,0,0,0,0,0,0
Young,Female,Astrocytes,0,0,87.0,0,0,0,0,0,0,0,0,0
Young,Female,Astrocytes,0,0,56.993935,0,0,0,0,0,0,0,0,0
Young,Female,Astrocytes,0,0,52.467735,0,0,0,0,0,0,0,0,0
Young,Male,Astrocytes,0,0,0.0,0,0,0,0,0,0,0,0,0
Young,Male,Astrocytes,0,0,38.0,0,0,0,0,0,0,0,0,0
Young,Male,Astrocytes,0,0,69.06616,0,0,0,0,0,0,0,0,0
Young,Male,Astrocytes,0,0,67.595,0,0,0,0,0,0,0,0,0
Young,Female,Astrocytes,0,0,56.861313,0,0,0,0,0,0,0,0,0
Young,Male,Astrocytes,0,0,34.0,0,0,0,0,0,0,0,0,0
Young,Female,Astrocytes,0,0,52.0,0,0,0,0,0,0,0,0,0
Old,Male,Astrocytes,0,0,87.0,0,0,0,0,0,0,0,0,0
Old,Male,Astrocytes,0,0,93.16989,0,0,0,0,0,0,0,0,0
Adult,Male,Astrocytes,0,0,21.883211,0,0,0,0,0,0,0,0,0
Adult,Female,Astrocytes,0,0,53.0,0,0,0,0,0,0,0,0,0
Adult,Female,Astrocytes,0,0,39.262775,0,0,0,0,0,0,0,0,0
Old,Female,Astrocytes,0,0,103.88322,0,0,0,0,0,0,0,0,0
Young,Male,Astrocytes,0,0,28.116789,0,0,0,0,0,0,0,0,0
Young,Female,Astrocytes,0,0,29.0,0,0,0,0,0,0,0,0,0
Old,Female,Astrocytes,0,0,30.036972,0,0,0,0,0,0,0,0,0
Old,Male,Astrocytes,0,0,48.0,0,0,0,0,0,0,0,0,0
Adult,Male,Astrocytes,0,0,18.335766,0,0,0,0,0,0,0,0,0
Adult,Male,Astrocytes,0,0,17.751825,0,0,0,0,0,0,0,0,0
Adult,Female,Astrocytes,0,0,14.0,0,0,0,0,0,0,0,0,0
Old,Male,Neurons,0,0,155.83943,0,0,0,0,0,0,0,0,0
Adult,Female,Neurons,0,0,275.39337,0,0,0,0,0,0,0,0,0
Adult,Female,Neurons,0,0,256.98145,0,0,0,0,0,0,0,0,0
Adult,Female,Neurons,0,0,207.56046,0,0,0,0,0,0,0,0,0
Adult,Female,Neurons,0,0,328.08838,0,0,0,0,0,0,0,0,0
Adult,Female,Neurons,0,0,287.4401,0,0,0,0,0,0,0,0,0
Adult,Female,Neurons,0,0,270.01993,0,0,0,0,0,0,0,0,0
Adult,Male,Neurons,0,0,234.75183,0,0,0,0,0,0,0,0,0
Adult,Male,Neurons,0,0,326.04843,0,0,0,0,0,0,0,0,0
Young,Female,Neurons,0,0,211.15663,0,0,0,0,0,0,0,0,0
Young,Female,Neurons,0,0,348.8176,0,0,0,0,0,0,0,0,0
Young,Female,Neurons,0,0,227.04654,0,0,0,0,0,0,0,0,0
Young,Male,Neurons,0,0,178.16943,0,0,0,0,0,0,0,0,0
Young,Male,Neurons,0,0,201.8786,0,0,0,0,0,0,0,0,0
Young,Female,Neurons,0,0,185.48463,0,0,0,0,0,0,0,0,0
Young,Male,Neurons,0,0,186.5797,0,0,0,0,0,0,0,0,0
Young,Male,Neurons,0,0,206.53255,0,0,0,0,0,0,0,0,0
Old,Female,Neurons,0,0,58.0,0,0,0,0,0,0,0,0,0
Old,Female,Neurons,0,0,103.16788,0,0,0,0,0,0,0,0,0
Old,Male,Neurons,0,0,62.09489,0,0,0,0,0,0,0,0,0
Old,Male,Neurons,0,0,135.27759,0,0,0,0,0,0,0,0,0
Old,Male,Neurons,0,0,92.40876,0,0,0,0,0,0,0,0,0
